Book Title,Author,Genre,Blurb
Still Beating,Jennifer Hartmann,Dark Romance,"Two people who can't stand each other are kidnapped together, and their shared trauma bonds them in unexpected and complicated ways."
A Court of Thorns and Roses,Sarah J. Maas,Fantasy Romance,"A huntress kills a wolf in the woods and is dragged to a magical land as punishment, where she discovers fae politics and dangerous attractions."
A Court of Mist and Fury,Sarah J. Maas,Fantasy Romance,"After traumatic events, Feyre struggles with PTSD while discovering new powers and unexpected love in the Night Court."
A Court of Wings and Ruin,Sarah J. Maas,Fantasy Romance,"Feyre returns to the Spring Court as a spy while war brews between human and fae lands in this explosive continuation."
A Court of Frost and Starlight,Sarah J. Maas,Fantasy Romance,"A novella bridging the gap between ACOWAR and ACOSF, following the Night Court as they rebuild after war and celebrate Winter Solstice."
A Court of Silver Flames,Sarah J. Maas,Fantasy Romance,"Nesta Archeron's story of healing, power, and finding love with Cassian while training to become a warrior."
Throne of Glass,Sarah J. Maas,Fantasy Romance,"An assassin is offered a chance at freedom if she competes to become the King's Champion in a deadly competition."
Crown of Midnight,Sarah J. Maas,Fantasy Romance,"As the King's Champion, Celaena must navigate court politics, hidden magic, and dangerous secrets about her past."
Heir of Fire,Sarah J. Maas,Fantasy Romance,"Celaena travels to a new continent to train with a Fae warrior prince while embracing her true identity and magical powers."
Queen of Shadows,Sarah J. Maas,Fantasy Romance,"Aelin returns to her kingdom's capital for vengeance, gathering allies and confronting her past to reclaim her throne."
Empire of Storms,Sarah J. Maas,Fantasy Romance,"Aelin races against time to gather armies and secure alliances as the final battle for her kingdom approaches."
Tower of Dawn,Sarah J. Maas,Fantasy Romance,"Chaol journeys to a distant empire seeking healing and discovers a new threat while forming unexpected alliances."
Kingdom of Ash,Sarah J. Maas,Fantasy Romance,"The epic conclusion where Aelin must sacrifice everything to save her kingdom and world from dark forces."
Crescent City: House of Earth and Blood,Sarah J. Maas,Fantasy Romance,"A half-fae woman teams up with a fallen angel to solve a series of brutal murders in a modern fantasy city."
Crescent City: House of Sky and Breath,Sarah J. Maas,Fantasy Romance,"Bryce and Hunt face the consequences of their rebellion while uncovering deeper conspiracies threatening their world."
Crescent City: House of Flame and Shadow,Sarah J. Maas,Fantasy Romance,"The explosive conclusion to the Crescent City trilogy where worlds collide and ultimate sacrifices must be made."
Fourth Wing,Rebecca Yarros,Fantasy Romance,"A young woman enters a brutal war college for dragon riders despite her fragile body, proving everyone wrong while falling for her enemy."
Iron Flame,Rebecca Yarros,Fantasy Romance,"Violet must navigate leadership, war, and trust issues as she uncovers dark secrets about her world and confronts new threats."
Onyx Storm,Rebecca Yarros,Fantasy Romance,"The highly anticipated third book in the Empyrean series continues Violet's journey through war, dragons, and complicated romance."
Powerless,Lauren Roberts,Fantasy Romance,"In a world where everyone has powers, a powerless girl must survive deadly trials while hiding her secret from the Elite prince."
Reckless,Lauren Roberts,Fantasy Romance,"The sequel to Powerless continues the story of survival, rebellion, and forbidden romance in a kingdom divided by power."
Divine Rivals,Rebecca Ross,Fantasy Romance,"Two rival journalists write letters that magically find their way to each other across a war-torn world, not knowing each other's identity."
Ruthless Vows,Rebecca Ross,Fantasy Romance,"The conclusion to Divine Rivals where Iris and Roman must face the consequences of war and their feelings for each other."
The Cruel Prince,Holly Black,Fantasy Romance,"A mortal girl raised in Faerie must navigate deadly politics and her complicated feelings for the cruel prince who torments her."
The Wicked King,Holly Black,Fantasy Romance,"Jude has power over the new High King but enemies everywhere, and her control begins to slip as she falls deeper into fae intrigue."
The Queen of Nothing,Holly Black,Fantasy Romance,"Exiled to the mortal world, Jude must decide whether to reclaim her place in Faerie or leave that life behind forever."
Shadow and Bone,Leigh Bardugo,Fantasy Romance,"An orphan mapmaker discovers she has a rare power that could be the key to saving her war-torn country."
Siege and Storm,Leigh Bardugo,Fantasy Romance,"Alina struggles with her growing power and the Darkling's pursuit while new allies and enemies emerge."
Ruin and Rising,Leigh Bardugo,Fantasy Romance,"The epic conclusion where Alina must gather her strength to face the Darkling and save Ravka from destruction."
Six of Crows,Leigh Bardugo,Fantasy Romance,"Six dangerous outcasts are hired for an impossible heist that could make them rich beyond their wildest dreams."
Crooked Kingdom,Leigh Bardugo,Fantasy Romance,"Kaz and his crew fight for revenge and survival in this thrilling conclusion full of twists and daring schemes."
King of Battle and Blood,Scarlett St. Clair,Fantasy Romance,"A princess forced to marry a vampire king discovers that her new husband is far more complex than the monster she expected."
King of Wrath,Ana Huang,Fantasy Romance,"A ruthless CEO enters into an arranged marriage with his childhood friend, but their business deal becomes complicated by real emotions."
King of Pride,Ana Huang,Fantasy Romance,"A billionaire who seems perfect on the outside must maintain his image while falling for his sister's best friend."
King of Greed,Ana Huang,Fantasy Romance,"A wealth manager must fake-date his ex-wife to save his business, but old feelings resurface stronger than ever."
King of Sloth,Ana Huang,Fantasy Romance,"A lazy playboy must prove himself worthy of his inheritance by working with a beautiful and driven influencer."
Twisted Love,Ana Huang,Fantasy Romance,"A woman falls for her brother's best friend, who has dark secrets and a protective obsession with her."
Twisted Games,Ana Huang,Fantasy Romance,"A princess falls for her bodyguard in this forbidden romance filled with danger, duty, and desire."
Twisted Hate,Ana Huang,Fantasy Romance,"Two people who hate each other get trapped in a friends-with-benefits arrangement that challenges everything they thought they knew."
Twisted Lies,Ana Huang,Fantasy Romance,"A lifestyle blogger enters into a fake relationship with a mysterious billionaire who has secrets of his own."
A Shadow in the Ember,Jennifer L. Armentrout,Fantasy Romance,"A prequel to the Flesh and Fire series following Sera who must fulfill a bargain with the Primal of Death to save her kingdom."
The Summer I Turned Pretty,Jenny Han,Contemporary Romance,"A girl spends her summers at a beach house with her mother's best friend's family, navigating her feelings for two brothers."
It's Not Summer Without You,Jenny Han,Contemporary Romance,"The sequel where tragedy brings the group back together and Belly must make an impossible choice about her heart."
We'll Always Have Summer,Jenny Han,Contemporary Romance,"The conclusion to the trilogy where Belly faces the consequences of her choices and decides her future."
To All the Boys I've Loved Before,Jenny Han,Contemporary Romance,"A girl's secret love letters are mailed out, turning her life upside down and leading to a fake relationship with her crush."
P.S. I Still Love You,Jenny Han,Contemporary Romance,"Lara Jean's fake relationship became real, but now another letter recipient returns and complicates everything."
Always and Forever Lara Jean,Jenny Han,Contemporary Romance,"In her senior year, Lara Jean must decide between following her boyfriend to college or pursuing her own dreams."
Icebreaker,Hannah Grace,Contemporary Romance,"A figure skater forced to share rink time with the hockey team falls for the captain despite their sports rivalry."
Wildfire,Hannah Grace,Contemporary Romance,"A figure skater struggling with her mental health finds unexpected support from her teammate's older brother."
Daydream,Hannah Grace,Contemporary Romance,"A hockey player and a bookworm roommate develop an unexpected connection that challenges both of their plans."
The Deal,Elle Kennedy,Contemporary Romance,"A hockey star agrees to tutor a music major in exchange for help with his romantic life, but fake dating leads to real feelings."
The Mistake,Elle Kennedy,Contemporary Romance,"A hockey player trying to win back his ex enlists help from her friend, leading to unexpected attraction."
The Score,Elle Kennedy,Contemporary Romance,"A hockey player known for never committing meets a woman who challenges everything he thought he wanted."
The Goal,Elle Kennedy,Contemporary Romance,"A hockey captain enters into a fake relationship with his former friend, but their past complicates everything."
The Legacy,Elle Kennedy,Contemporary Romance,"The next generation of hockey players at Briar U face new challenges in romance and on the ice."
The Roommate,Rosie Danan,Contemporary Romance,"A small-town woman discovers her new roommate is an adult film star and they develop an unexpected business partnership and attraction."
The Intimacy Experiment,Rosie Danan,Contemporary Romance,"A former adult film star partners with a rabbi to attract young people to his synagogue, leading to unexpected feelings."
Red String Theory,Lauren Kung Jessen,Contemporary Romance,"Two people discover they're connected by the Chinese legend of the red string of fate, but timing keeps pulling them apart."
Funny Story,Emily Henry,Contemporary Romance,"After being left for her ex's ex, a woman moves in with her ex's ex's ex, and they fake-date for revenge that becomes real."
Check & Mate,Ali Hazelwood,Contemporary Romance,"A chess prodigy comes out of retirement for one last tournament and faces off against her rival in life and love."
Love Theoretically,Ali Hazelwood,Contemporary Romance,"A physicist who teaches the same lecture to different schools discovers her fake dating partner is her academic nemesis."
The Wall of Winnipeg and Me,Mariana Zapata,New Adult Romance,"An assistant to a professional football player quits but is lured back with an unusual request: marry him for a green card."
Kulti,Mariana Zapata,New Adult Romance,"A soccer player meets her childhood idol when he becomes her team's coach, and their age-gap romance slowly develops."
From Lukov with Love,Mariana Zapata,New Adult Romance,"Figure skating rivals are forced to partner together, bringing their hate-to-love tension to the ice."
Dear Aaron,Mariana Zapata,New Adult Romance,"A single mom starts writing letters to an unknown deployed soldier, and their epistolary romance transforms both their lives."
Luna and the Lie,Mariana Zapata,New Adult Romance,"A woman with a traumatic past slowly falls for her patient and caring boss in this emotional slow-burn romance."
Priest,Sierra Simone,New Adult Romance,"A woman confesses her desires to a Catholic priest, leading to a forbidden romance that challenges his faith and vows."
Sinner,Sierra Simone,New Adult Romance,"A companion to Priest following a professional dom who falls for the priest's ex-fiancée in this steamy forbidden romance."
The Stopover,T.L. Swan,New Adult Romance,"A woman has a one-night stand with a stranger in New York, only to discover he's her new boss in London."
Mr. Masters,T.L. Swan,New Adult Romance,"A single mother becomes a nanny for a demanding and attractive businessman with strict rules about fraternization."
The Do-Over,Lynn Painter,New Adult Romance,"A girl relives the same Valentine's Day over and over, trying to fix her disasters and figure out her true feelings."
The Hunger Games,Suzanne Collins,Young Adult,"In a dystopian future, a girl volunteers to take her sister's place in a televised fight to the death."
Catching Fire,Suzanne Collins,Young Adult,"Katniss returns to the arena as a Quarter Quell throws past victors back into the deadly games."
Mockingjay,Suzanne Collins,Young Adult,"The rebellion against the Capitol reaches its climax as Katniss becomes the symbol of revolution."
The Ballad of Songbirds and Snakes,Suzanne Collins,Young Adult,"A prequel following a young Coriolanus Snow as he mentors a tribute in the 10th Hunger Games."
Divergent,Veronica Roth,Young Adult,"In a world divided by factions based on virtues, a girl discovers she doesn't fit into any category."
Insurgent,Veronica Roth,Young Adult,"Tris and Four fight against the faction system while uncovering dark secrets about their society."
Allegiant,Veronica Roth,Young Adult,"The truth about the faction system is revealed as Tris ventures beyond the wall for the first time."
The Maze Runner,James Dashner,Young Adult,"A boy wakes up in a maze with no memory and must work with others to escape while solving its deadly puzzle."
The Scorch Trials,James Dashner,Young Adult,"The survivors of the maze face new trials in the scorched wasteland outside while discovering the truth about WICKED."
The Death Cure,James Dashner,Young Adult,"Thomas must make the final choice about whether to trust WICKED and if there's truly a cure for the Flare virus."
We Were Liars,E. Lockhart,Young Adult,"A privileged girl suffers from amnesia and slowly pieces together what happened during the summer that changed everything."
One of Us Is Lying,Karen M. McManus,Young Adult,"Five students enter detention but only four leave alive, and everyone is a suspect in this murder mystery."
One of Us Is Next,Karen M. McManus,Young Adult,"A dangerous game of truth or dare targets students at Bayview High, and it's up to a new group to stop it."
Two Can Keep a Secret,Karen M. McManus,Young Adult,"Twins move to a town with a dark history of unsolved murders, and the past begins to repeat itself."
The Fault in Our Stars,John Green,Young Adult,"Two teens with cancer meet at a support group and fall in love while dealing with illness and mortality."
Looking for Alaska,John Green,Young Adult,"A boy at boarding school falls for an enigmatic girl, but tragedy strikes and changes everything."
Paper Towns,John Green,Young Adult,"A boy goes on a road trip to find the girl he's loved from afar who disappeared after leaving mysterious clues."
They Both Die at the End,Adam Silvera,Young Adult,"Two boys receive calls telling them they'll die today, so they meet up to live one last adventure together."
The Perks of Being a Wallflower,Stephen Chbosky,Young Adult,"An introverted freshman navigates high school, friendship, love, and mental health through letters to an anonymous friend."
Five Feet Apart,Rachael Lippincott,Young Adult,"Two teens with cystic fibrosis fall in love but must maintain a safe distance due to infection risks."
The Seven Year Slip,Ashley Poston,Mystery/Thriller,"A woman finds her apartment slipping through time, allowing her to meet a man from seven years ago."
The Silent Patient,Alex Michaelides,Mystery/Thriller,"A psychotherapist becomes obsessed with a famous painter who murdered her husband and hasn't spoken since."
The Maidens,Alex Michaelides,Mystery/Thriller,"A therapist investigates a secret society at Cambridge after her niece's friend is murdered."
The Guest List,Lucy Foley,Mystery/Thriller,"A wedding on a remote Irish island turns deadly when a guest is found murdered during the celebration."
The Paris Apartment,Lucy Foley,Mystery/Thriller,"A woman discovers her brother missing from his Paris apartment and uncovers dark secrets about the building's residents."
The Hunting Party,Lucy Foley,Mystery/Thriller,"Old friends gather at a remote Scottish lodge for New Year's, but a blizzard traps them with a murderer."
Rock Paper Scissors,Alice Feeney,Mystery/Thriller,"A couple wins a weekend away to save their marriage, but the remote location holds deadly secrets from their past."
Daisy Darker,Alice Feeney,Mystery/Thriller,"A family gathers for grandmother's 80th birthday on an island, but they start dying one by one like a nursery rhyme."
Sometimes I Lie,Alice Feeney,Mystery/Thriller,"A woman in a coma can hear everything but can't communicate, and she's not sure if she can trust her own memories."
The Woman in the Window,A.J. Finn,Mystery/Thriller,"An agoraphobic woman witnesses a crime through her window, but no one believes her increasingly unreliable account."
The Girl on the Train,Paula Hawkins,Mystery/Thriller,"An alcoholic divorcee becomes entangled in a missing person's case connected to the couple she watches from the train."
Into the Water,Paula Hawkins,Mystery/Thriller,"Women keep drowning in the same river, and a single mother must uncover the town's deadly secrets."
The It Girl,Ruth Ware,Mystery/Thriller,"A woman must face her past when the man convicted of killing her college roommate is found innocent years later."
The Death of Mrs. Westaway,Ruth Ware,Mystery/Thriller,"A tarot card reader receives an inheritance letter, but she knows it's a mistake—or is it?"
In a Dark Dark Wood,Ruth Ware,Mystery/Thriller,"A woman wakes up in a hospital with no memory of how she got there after attending a hen party in the woods."
The Turn of the Key,Ruth Ware,Mystery/Thriller,"A nanny takes a job in a smart home in Scotland, but the technology and family secrets turn sinister."
One by One,Ruth Ware,Mystery/Thriller,"A corporate retreat at a luxury ski chalet becomes deadly when an avalanche traps employees with a killer."
The Night She Disappeared,Lisa Jewell,Mystery/Thriller,"A young mother disappears after a date night, and a true crime writer tries to piece together what happened."
Then She Was Gone,Lisa Jewell,Mystery/Thriller,"A mother whose daughter disappeared years ago finally begins to move on, until she meets a man with a daughter who looks just like her missing child."
The Family Upstairs,Lisa Jewell,Mystery/Thriller,"A woman inherits a mansion where a cult died 25 years ago, and the survivors' dark secrets begin to surface."
The Song of Achilles,Madeline Miller,Historical Fiction,"A retelling of the Iliad from Patroclus's perspective, exploring his relationship with the legendary warrior Achilles."
Circe,Madeline Miller,Historical Fiction,"The story of the witch Circe, exiled to an island, as she discovers her power and encounters famous mythological figures."
All the Light We Cannot See,Anthony Doerr,Historical Fiction,"A blind French girl and a German boy's paths collide in occupied France during World War II."
The Book Thief,Markus Zusak,Historical Fiction,"Death narrates the story of a girl in Nazi Germany who steals books and shares them during bombing raids."
The Nightingale,Kristin Hannah,Historical Fiction,"Two sisters in Nazi-occupied France take different paths of resistance during World War II."
The Four Winds,Kristin Hannah,Historical Fiction,"A woman fights for her family's survival during the Great Depression and Dust Bowl era."
The Great Alone,Kristin Hannah,Historical Fiction,"A family moves to Alaska in the 1970s seeking a fresh start, but isolation and danger test their bonds."
The Women,Kristin Hannah,Historical Fiction,"A nurse serves in Vietnam and returns home to face judgment and struggle to reintegrate into society."
The Invisible Life of Addie LaRue,V.E. Schwab,Historical Fiction,"A woman makes a Faustian bargain to live forever but be forgotten by everyone she meets—until someone remembers."
The Midnight Library,Matt Haig,Historical Fiction,"A woman discovers a library between life and death where she can explore all the lives she could have lived."
Normal People,Sally Rooney,Literary Fiction,"Two Irish teenagers from different social classes navigate their complicated on-and-off relationship through school and college."
Conversations with Friends,Sally Rooney,Literary Fiction,"A college student becomes entangled in a complex relationship with an older married couple."
Beautiful World Where Are You,Sally Rooney,Literary Fiction,"Two best friends navigate relationships and early adulthood while contemplating their place in a troubled world."
Where the Crawdads Sing,Delia Owens,Literary Fiction,"A girl raised alone in the North Carolina marshes becomes a suspect in a murder investigation."
The Kite Runner,Khaled Hosseini,Literary Fiction,"A man returns to Afghanistan to confront his past and seek redemption for betraying his childhood friend."
A Thousand Splendid Suns,Khaled Hosseini,Literary Fiction,"Two Afghan women from different generations form an unlikely bond as they endure life under Taliban rule."
And the Mountains Echoed,Khaled Hosseini,Literary Fiction,"A brother and sister are separated as children, and their story ripples through generations and across continents."
The Vanishing Half,Brit Bennett,Literary Fiction,"Twin sisters choose to live in different worlds—one as Black, one passing as white—and their choices affect generations."
The Mothers,Brit Bennett,Literary Fiction,"A teenage girl has an abortion and keeps it secret, but the decision haunts three people for years."
Anxious People,Fredrik Backman,Literary Fiction,"A failed bank robber takes hostages at an apartment viewing, leading to unexpected connections and revelations."
Just for the Summer,Abby Jimenez,Contemporary Romance,"Two people cursed with bad luck in relationships decide to date each other for one summer to break their patterns."
Part of Your World,Abby Jimenez,Contemporary Romance,"An ER doctor gets stranded in a small town and falls for a carpenter, forcing her to question her big-city life."
Yours Truly,Abby Jimenez,Contemporary Romance,"A surgeon agrees to be a backup plan donor for her brother and forms an unexpected connection with his best friend."
The Friend Zone,Abby Jimenez,Contemporary Romance,"A woman plans her wedding while falling for her best friend, who can't have children—the one thing she desperately wants."
Life's Too Short,Abby Jimenez,Contemporary Romance,"A woman with a terminal diagnosis takes a spontaneous road trip with her sister's uptight ex-boyfriend."
Love and Other Words,Christina Lauren,Contemporary Romance,"A woman reunites with her first love after years of silence, and flashbacks reveal what tore them apart."
The Seat Filler,Sariah Wilson,Contemporary Romance,"A woman becomes a professional seat filler at awards shows and gets her chance when she sits next to a famous actor."
The Chemistry of Love,Sariah Wilson,Contemporary Romance,"A woman skeptical of love matches with a scientist who believes in love's chemistry, and they test their theories."
The Simple Wild,K.A. Tucker,Contemporary Romance,"A city girl travels to Alaska to reconnect with her dying father and clashes with his rugged bush pilot."
Better Than the Movies,Lynn Painter,Contemporary Romance,"A girl enlists her annoying neighbor to help win back her childhood crush, but fake dating leads to real feelings."
Nothing Like the Movies,Lynn Painter,Contemporary Romance,"College freshmen and former rivals reunite as roommates and must navigate their complicated feelings."
Mr. Wrong Number,Lynn Painter,Contemporary Romance,"A woman accidentally texts the wrong number and develops a flirtation with a stranger who turns out to be her annoying colleague."
The Ex Talk,Rachel Lynn Solomon,Contemporary Romance,"Two public radio hosts who hate each other must pretend to be exes for a new show, and fake chemistry becomes real."
Business or Pleasure,Rachel Lynn Solomon,Contemporary Romance,"A travel writer and a fake relationship expert are forced to travel together for work, testing their professional boundaries."
Weather Girl,Rachel Lynn Solomon,Contemporary Romance,"A weather producer and a TV meteorologist pretend to date to save their jobs, but Seattle's rain isn't the only thing heating up."
Archer's Voice,Mia Sheridan,Contemporary Romance,"A woman escaping her past meets a mute recluse in a small town, and they find healing in each other."
Kyland,Mia Sheridan,Contemporary Romance,"Two teenagers in an impoverished Kentucky town find solace in each other while chasing their dreams of escape."
Travis,Mia Sheridan,Contemporary Romance,"A woman running from danger finds protection and unexpected love with a private investigator."
Meet Me at the Lake,Carley Fortune,Contemporary Romance,"A woman inheriting her family's lakeside resort reconnects with a man she had a perfect day with years ago."
Every Summer After,Carley Fortune,Contemporary Romance,"Childhood best friends and summer sweethearts reunite after a decade apart when tragedy brings them back together."
An Ember in the Ashes,Sabaa Tahir,Fantasy,"A scholar and a soldier's lives intertwine in a brutal military academy in a world inspired by ancient Rome."
A Torch Against the Night,Sabaa Tahir,Fantasy,"Elias and Laia go on the run while being hunted by the Empire's most skilled warriors."
A Reaper at the Gates,Sabaa Tahir,Fantasy,"Beyond the Empire's borders, Elias struggles with his new role while Laia trains with rebels."
A Sky Beyond the Storm,Sabaa Tahir,Fantasy,"The epic conclusion where three young people must save their world from destruction."
House of Hollow,Krystal Sutherland,Fantasy,"Three sisters who disappeared as children and returned changed must solve the mystery when the eldest vanishes again."
The Atlas Six,Olivie Blake,Fantasy,"Six magicians are recruited to join a secret society, but only five will make it out alive."
Shatter Me,Tahereh Mafi,Fantasy,"A girl with a lethal touch is imprisoned and used as a weapon by The Reestablishment in a dystopian world."
Caraval,Stephanie Garber,Fantasy,"Two sisters enter a magical competition where nothing is as it seems and the stakes are higher than they know."
Legendary,Stephanie Garber,Fantasy,"The sequel where the second sister takes center stage in the next round of Caraval's dangerous games."
Finale,Stephanie Garber,Fantasy,"The thrilling conclusion where both sisters must face the truth about Caraval and fight for their futures."
